t_c,p_dbar,pH,H+  (nmol/KgSW),fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW),Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),s,SubFlag,long,lat,date_time,avg_pco2sw
-1.28,2,8.036959212,9.184188489,385.0014257,386.7303851,2010.642382,81.80985043,25.84505762,44.23572986,0.450132872,0,0,16.2776328,1.986221323,1.240837259,388.8265835,32.499,Phosp Set to 0. Si Set to 0.,-64.68,60.83,2018-05-31 18:06:04 UTC,541.6511551
-1.194,2,8.061208326,8.685436999,362.3394244,363.9647086,2002.185294,87.34185021,24.18168854,47.38939502,0.483269698,0,0,15.7421608,2.116478232,1.323551347,365.9496322,32.902,Phosp Set to 0. Si Set to 0.,-64.82,61.15,2018-06-01 00:04:43 UTC,382.7445767
-1.046,2,8.111754812,7.731169376,321.5353431,322.974696,1992.164239,97.80770238,21.35274181,52.36464653,0.550886775,0,0,14.9400311,2.371455346,1.482593544,324.7555534,32.745,Phosp Set to 0. Si Set to 0.,-69.61,62.04,2018-06-01 14:22:06 UTC,399.4314416
-1.652,2,7.954221101,11.11165884,475.4066654,477.5524716,2058.914756,68.14036844,32.40210786,36.78524375,0.356479717,0,0,17.67812169,1.655297518,1.03374996,480.0708054,32.45,Phosp Set to 0. Si Set to 0.,-78.62,64.22,2018-06-03 01:21:47 UTC,443.7355403
-1.406,2,8.040005348,9.119996081,389.4836168,391.2357108,2049.892356,83.31357385,26.29710626,44.12185327,0.446149531,0,0,16.38292109,2.024072755,1.264008323,393.3368264,32.37747562,Phosp Set to 0. Si Set to 0.,-79.92,63.72,2018-06-03 20:19:52 UTC,433.4918534
-1.306,2,8.054367259,8.823334429,375.1666083,376.8519987,2038.455748,85.80417849,25.24126617,45.42070576,0.465893385,0,0,16.1343096,2.085108512,1.301950785,378.8909579,32.3,Phosp Set to 0. Si Set to 0.,-79.44,63.45,2018-06-04 02:10:12 UTC,418.296274
-1.646,2,8.033192359,9.264194003,387.6519381,389.4015093,2000.264225,75.91211148,26.69799705,40.13579559,0.417362955,0,0,16.97761576,1.858214673,1.154843095,391.4578847,30.683,Phosp Set to 0. Si Set to 0.,-78.86,62.88,2018-06-04 18:58:30 UTC,515.1555315
-0.717,2,8.081178216,8.29510301,352.5136374,354.0846186,2026.806448,93.08362375,23.15754023,48.95172683,0.530132961,0,0,15.50505897,2.259987444,1.411959725,356.0852591,32.38,Phosp Set to 0. Si Set to 0.,-90.03,63.18,2018-06-07 21:59:59 UTC,376.5987168
-1.141,2,8.118482313,7.612331403,320.5148911,321.9515328,2014.997251,98.79661041,21.43106688,51.81736622,0.549678739,0,0,15.05350398,2.401148071,1.499202449,323.7148508,32.237,Phosp Set to 0. Si Set to 0.,-88.42,63.71,2018-06-08 08:33:14 UTC,371.3978089
-0.454,2,8.134734798,7.332721693,313.760073,315.1533613,2039.331558,108.4314932,20.33808795,56.05417232,0.621914958,0,0,14.4756541,2.626008745,1.642881748,316.9682571,32.877,Phosp Set to 0. Si Set to 0.,-92.13,61.85,2018-06-09 15:28:03 UTC,350.1894371
