t_c,p_dbar,pH,H+  (nmol/KgSW),fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW),Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),s,SubFlag,long,lat
-1.28,2,8.041,9.1,377.6,379.3258261,2012.0,80.9,25.4,44.6,0.5,0.0,0.0,16.383,1.96,1.23,381.4,32.499,Phosp Set to 0. Si Set to 0. ,-64.68288,60.8306
-1.095,20,8.115,7.7,317.1,318.5089143,2005.7,96.8,21.1,52.5,0.6,0.0,0.0,15.098,2.34,1.46,320.3,32.622,Phosp Set to 0. Si Set to 0. ,-64.68288,60.8306
-0.848,40,8.022,9.5,397.9,399.6727248,2028.1,79.9,26.2,44.0,0.5,0.0,0.0,16.519,1.92,1.20,401.9,32.702,Phosp Set to 0. Si Set to 0. ,-64.68288,60.8306
-0.685,60,8.018,9.6,399.9,401.729872,2024.8,80.0,26.2,44.1,0.5,0.0,0.0,16.485,1.91,1.20,404.0,32.778,Phosp Set to 0. Si Set to 0. ,-64.68288,60.8306
-0.742,100,8.026,9.4,390.2,391.9107021,2022.2,81.6,25.6,45.2,0.5,0.0,0.0,16.323,1.93,1.21,394.1,32.878,Phosp Set to 0. Si Set to 0. ,-64.68288,60.8306
1.062,201,8.009,9.8,407.3,409.0351686,2028.5,87.3,24.8,48.2,0.6,0.0,0.0,15.771,2.02,1.27,411.7,33.766,Phosp Set to 0. Si Set to 0. ,-64.68288,60.8306
2.156,382,8.042,9.1,373.2,374.750825,2029.1,100.7,21.7,55.1,0.7,0.0,0.0,14.749,2.23,1.41,377.4,34.155,Phosp Set to 0. Si Set to 0. ,-64.68288,60.8306
-1.194,2,8.066,8.6,355.2,356.7593781,2003.6,86.4,23.7,47.8,0.5,0.0,0.0,15.837,2.09,1.31,358.7,32.902,Phosp Set to 0. Si Set to 0. ,-64.8192,61.15014
-0.899,20,8.081,8.3,341.9,343.4329761,1995.3,90.5,22.5,50.0,0.5,0.0,0.0,15.461,2.18,1.37,345.3,33.009,Phosp Set to 0. Si Set to 0. ,-64.8192,61.15014
-0.242,50,8.053,8.9,367.7,369.284095,2009.3,88.3,23.6,48.7,0.5,0.0,0.0,15.676,2.11,1.32,371.4,33.169,Phosp Set to 0. Si Set to 0. ,-64.8192,61.15014
0.219,61,8.058,8.7,363.1,364.687687,2003.5,91.3,22.9,50.3,0.6,0.0,0.0,15.393,2.18,1.37,366.9,33.357,Phosp Set to 0. Si Set to 0. ,-64.8192,61.15014
0.635,100,8.032,9.3,385.4,387.0642954,2005.4,88.4,23.8,49.0,0.6,0.0,0.0,15.590,2.09,1.31,389.5,33.627,Phosp Set to 0. Si Set to 0. ,-64.8192,61.15014
3.019,202,7.995,10.1,428.4,430.2435991,2035.0,93.0,24.1,50.6,0.7,0.0,0.0,15.307,2.14,1.35,433.4,34.307,Phosp Set to 0. Si Set to 0. ,-64.8192,61.15014
