t_c,p_dbar,pH,H+  (nmol/KgSW),fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW),Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),s,SubFlag,long,lat,date_time,avg_pco2sw
-1.28,2,8.041312758,9.092582321,377.6299702,379.3258261,2012.032847,80.91422958,25.35021351,44.63187857,0.454667881,0,0,16.38331133,1.964476983,1.22725308,381.3818894,32.499,Phosp Set to 0. Si Set to 0.,-64.68,60.83,2018-05-31 18:06:04 UTC,541.6511551
-1.046,2,8.116613526,7.645158154,314.9828373,316.3928579,1993.552966,96.8541178,20.91759847,52.87680297,0.557084482,0,0,15.01674972,2.348334639,1.468138871,318.1374236,32.745,Phosp Set to 0. Si Set to 0.,-69.61,62.04,2018-06-01 14:22:06 UTC,399.4314416
-1.652,2,7.958034994,11.01450554,467.0045854,469.1124678,2060.357781,67.27000082,31.82945055,37.07971109,0.359624041,0,0,17.82329001,1.634154143,1.02054571,471.5862938,32.45,Phosp Set to 0. Si Set to 0.,-78.62,64.22,2018-06-03 01:21:47 UTC,443.7355403
-1.406,2,8.044402058,9.028132866,382.0110104,383.7294888,2051.305061,82.40540281,25.79257176,44.52085686,0.4506892,0,0,16.49011759,2.002009072,1.250229827,385.7902926,32.37747562,Phosp Set to 0. Si Set to 0.,-79.92,63.72,2018-06-03 20:19:52 UTC,433.4918534
-1.306,2,8.058794728,8.733840818,367.9106654,369.5634593,2039.848958,84.89914871,24.75308523,45.83268983,0.470667285,0,0,16.23492525,2.063115582,1.288218304,371.5629838,32.3,Phosp Set to 0. Si Set to 0.,-79.44,63.45,2018-06-04 02:10:12 UTC,418.296274
-1.646,2,8.037221009,9.178653823,380.6436363,382.3615773,2001.567669,75.09133691,26.21532793,40.46992462,0.421252556,0,0,17.0918198,1.838123342,1.142356736,384.3807758,30.683,Phosp Set to 0. Si Set to 0.,-78.86,62.88,2018-06-04 18:58:30 UTC,515.1555315
-0.717,2,8.085587738,8.211306485,345.5747168,347.1147747,2028.161519,92.18438811,22.70170444,49.38963159,0.535542977,0,0,15.59104112,2.238154804,1.398319469,349.0760343,32.38,Phosp Set to 0. Si Set to 0.,-90.03,63.18,2018-06-07 21:59:59 UTC,376.5987168
-1.141,2,8.123229707,7.52957205,314.045702,315.4533469,2016.363258,97.8631629,20.99850781,52.31212932,0.555720391,0,0,15.13019608,2.378461608,1.485037724,317.1810745,32.237,Phosp Set to 0. Si Set to 0.,-88.42,63.71,2018-06-08 08:33:14 UTC,371.3978089
-0.454,2,8.13956882,7.251555583,307.2652267,308.6296739,2040.72063,107.4634205,19.9170887,56.59420226,0.628876004,0,0,14.54281139,2.602563829,1.628214155,310.4070013,32.877,Phosp Set to 0. Si Set to 0.,-92.13,61.85,2018-06-09 15:28:03 UTC,350.1894371
-1.281,2,8.067675933,8.55704994,354.9102352,356.5040832,2002.454745,83.5853053,23.96390043,45.21179227,0.476678527,0,0,16.23907726,2.037938109,1.269979072,358.4373147,31.542,Phosp Set to 0. Si Set to 0.,-89.33,60.91,2018-06-10 17:43:14 UTC,386.1969778
0.937,2,8.101725866,7.911778749,330.6403638,332.0812174,1987.481322,100.9663581,20.33402441,53.99709687,0.670599953,0,0,14.7143108,2.445310508,1.530538874,334.198129,32.622,Phosp Set to 0. Si Set to 0.,-94,60.42,2018-06-11 15:33:19 UTC,358.0110499
0.146,4,8.1769099,6.6541119,274.5226453,275.7318161,1975.405132,115.4101597,17.41191529,61.20112802,0.730062013,0,0,13.75570967,2.796162318,1.748931038,277.3912233,32.585,Phosp Set to 0. Si Set to 0.,-91.78,60.92,2018-06-12 03:27:55 UTC,263.7151182
-1.126,2,8.080889596,8.300617543,339.8061303,341.3289299,1968.721944,83.90997394,22.89128282,45.35694794,0.495476672,0,0,16.10968244,2.051263315,1.276065623,343.2018163,30.899,Phosp Set to 0. Si Set to 0.,-87.79,61.71,2018-06-12 22:46:48 UTC,376.8616052
1.203,2,8.168816649,6.779276556,278.4236575,279.6326157,1942.477732,113.8546108,17.04195906,59.73549702,0.795439909,0,0,13.76830658,2.768749396,1.729389449,281.4507979,31.705,Phosp Set to 0. Si Set to 0.,-88.38,62.2,2018-06-14 01:57:32 UTC,296.5351453
0.81,2,8.144388667,7.171521961,299.707954,301.0162532,1988.945145,110.6141468,18.53353233,58.30370166,0.728437695,0,0,14.11726624,2.68052924,1.677175937,302.9176339,32.519,Phosp Set to 0. Si Set to 0.,-90.92,62.58,2018-06-14 12:01:35 UTC,327.8164214
1.228,2,8.309765604,4.900432323,193.7423007,194.5832759,1873.579287,154.2993236,11.80542849,80.07982807,1.112922895,0,0,11.54461067,3.741900658,2.340831545,195.8503445,32.298,Phosp Set to 0. Si Set to 0.,-89.83,62.41,2018-06-15 01:22:41 UTC,295.9201499
-1.548,2,8.017675512,9.601177271,398.8896054,400.6874899,2004.14242,72.31079528,27.35156518,39.11696792,0.407643806,0,0,17.343803,1.769354473,1.099937262,402.8187781,30.759,Phosp Set to 0. Si Set to 0.,-84.31,61.77,2018-06-16 13:08:19 UTC,407.6802722
1.572,2,8.129420189,7.423005993,320.9788101,322.365636,2008.020951,100.438392,19.75219193,48.19421034,0.719393931,0,0,15.3712755,2.477322049,1.532007432,324.522189,28.447,Phosp Set to 0. Si Set to 0.,-91.8,57.5,2018-06-18 18:24:02 UTC,394.7004927
-0.945,2,8.137197044,7.291266235,288.6718142,289.9622786,1881.704028,87.07704365,19.55821984,46.30095144,0.55735128,0,0,15.63382368,2.147366819,1.32661875,291.5765668,28.754,Phosp Set to 0. Si Set to 0.,-88.15,56.98,2018-06-19 19:30:41 UTC,359.3160217
0.211,2,8.024559071,9.450198453,391.6672293,393.3908607,1941.31852,71.14016738,25.48138328,36.58388642,0.482552987,0,0,17.53071741,1.759235659,1.084470642,395.7756912,27.928,Phosp Set to 0. Si Set to 0.,-86.87,56.5,2018-06-21 01:10:41 UTC,381.0437408
-1.516,2,8.054216756,8.826392659,367.3548186,369.0098464,2008.0409,79.12242618,25.14117042,42.40484164,0.445700403,0,0,16.74474868,1.93512758,1.203390149,370.977178,30.863,Phosp Set to 0. Si Set to 0.,-86.5,57.18,2018-06-22 02:41:50 UTC,563.3479686
-1.604,2,8.039102757,9.138969817,383.3115645,385.0405555,2032.484982,78.83246025,26.18111073,42.67704588,0.431760587,0,0,16.77335174,1.920638857,1.197411191,387.0790126,31.777,Phosp Set to 0. Si Set to 0.,-86.03,57.77,2018-06-22 15:13:42 UTC,417.5641303
-1.413,2,8.242483041,5.721592969,218.6553548,219.6390708,1832.863514,108.7473834,15.00414172,58.85405793,0.684187607,0,0,13.67777678,2.671894056,1.655798223,220.8197255,29.74,Phosp Set to 0. Si Set to 0.,-86.23,58.47,2018-06-23 03:10:29 UTC,510.7098631
-1.495,2,8.054868707,8.813152658,369.1795489,370.8423213,2027.648922,81.83029781,25.11290873,44.13110827,0.452983553,0,0,16.49917791,1.993881038,1.243000593,372.8215555,31.731,Phosp Set to 0. Si Set to 0.,-86.3,58.73,2018-06-23 19:22:38 UTC,400.7562278
-1.457,2,8.197209555,6.35024447,256.2659689,257.4195844,1953.669033,109.945269,17.39208239,59.07175115,0.632515907,0,0,14.03508007,2.677330969,1.66968351,258.7972346,31.86,Phosp Set to 0. Si Set to 0.,-87.44,58.48,2018-06-24 06:19:08 UTC,560.7920903
-1.516,2,8.107162602,7.813352139,320.5231799,321.9672191,1986.453035,90.47165467,21.81410177,49.15984854,0.51013572,0,0,15.56775302,2.203939886,1.374142517,323.6828815,31.787,Phosp Set to 0. Si Set to 0.,-88.58,58.24,2018-06-24 13:44:55 UTC,385.0596644
-0.978,2,8.096542684,8.00676932,329.7784725,331.2533602,1972.204022,86.15649946,22.17803472,45.58000531,0.516972098,0,0,16.03864115,2.112136881,1.311270017,333.0915911,30.204,Phosp Set to 0. Si Set to 0.,-89.78,58.02,2018-06-25 04:15:50 UTC,298.7462915
0.105,3,8.223291055,5.980106861,238.4726045,239.5235718,1902.362359,120.2046229,15.24905675,63.87515845,0.796170637,0,0,13.22239563,2.927533819,1.825904574,240.9616196,31.495,Phosp Set to 0. Si Set to 0.,-81.96,63.19,2018-06-27 12:32:20 UTC,272.2954928
1.362,2,8.148340487,7.106561414,280.6623862,281.8784558,1851.775246,99.81341736,17.25137561,53.43100896,0.752499593,0,0,14.34391496,2.445893669,1.520268684,283.7341985,29.983,Phosp Set to 0. Si Set to 0.,-91.95,59.98,2018-06-28 17:16:08 UTC,279.5523696
6.966,2,7.996767171,10.07471637,474.6737588,476.5825146,1961.90864,71.05691591,25.17234528,26.69108827,0.79531593,0,0,18.93775179,1.823222055,1.090756833,481.2733045,20.171,Phosp Set to 0. Si Set to 0.,-91.96,57.22,2018-06-30 13:55:45 UTC,453.9579984
6.109,3,8.026905493,9.39927826,433.0902063,434.8515405,1973.384927,79.15040509,23.36773447,32.00208464,0.821044314,0,0,17.80945799,2.006852233,1.21420122,438.8790138,22.398,Phosp Set to 0. Si Set to 0.,-92.07,57.4,2018-07-01 11:30:00 UTC,425.6552373
4.326,3,8.01755437,9.603855787,429.3807839,431.1688144,2007.051738,82.6361148,24.10123289,37.8759294,0.724515703,0,0,17.0105035,2.053811021,1.264846089,434.6840108,26.612,Phosp Set to 0. Si Set to 0.,-91.98,57.4,2018-07-01 12:27:23 UTC,411.0086378
3.573,3,8.072139132,8.469560378,376.8357682,378.4208238,2026.537999,95.14464381,21.57355015,44.32344801,0.776294237,0,0,15.91873596,2.350586521,1.454062762,381.3434312,27.953,Phosp Set to 0. Si Set to 0.,-91.87,57.39,2018-07-01 13:19:59 UTC,390.8052502
